year,month,tmean
2003,8,25.66666667
2003,9,20.83333333
2003,10,15.83333333
2003,11,12.44444444
2003,12,4.388888889
2004,1,3.166666667
2004,2,3.888888889
2004,3,12.38888889
2004,4,14.33333333
2004,5,21.88888889
2004,6,23.66666667
2004,7,25.11111111
2004,8,22.88888889
2004,9,21.44444444
2004,10,17.66666667
2004,11,11.88888889
2004,12,4.388888889
2005,1,6.555555556
2005,2,7.666666667
2005,3,8.888888889
2005,4,14.83333333
2005,5,18.22222222
2005,6,23.77777778
2005,7,26.16666667
2005,8,27.11111111
2005,9,23.55555556
2005,10,15.61111111
2005,11,10.66666667
2005,12,2.888888889
2006,1,7.777777778
2006,2,3.444444444
2006,3,10.27777778
2006,4,18.27777778
2006,5,19.44444444
2006,6,23.55555556
2006,7,26.27777778
2006,8,26.83333333
2006,9,20.33333333
2006,10,13.83333333
2006,11,9.722222222
2006,12,6.944444444
2007,1,5.222222222
2007,2,2.722222222
2007,3,14.5
2007,4,13.88888889
2007,5,21.44444444
2007,6,24.72222222
2007,7,25.88888889
2007,8,29.5
2007,9,23.44444444
2007,10,17.77777778
2007,11,9.388888889
2007,12,7.333333333
2008,1,2.444444444
2008,2,6.111111111
2008,3,10
2008,4,14.66666667
2008,5,18.77777778
2008,6,24.66666667
2008,7,25.88888889
2008,8,24.83333333
2008,9,22.11111111
2008,10,14.88888889
2008,11,7.944444444
2008,12,4.666666667
2009,1,1.944444444
2009,2,6.166666667
2009,3,10.72222222
2009,4,14.83333333
2009,5,19.5
2009,6,24.83333333
2009,7,24
2009,8,24.44444444
2009,9,22.16666667
2009,10,13.72222222
2009,11,10.44444444
2009,12,3.722222222
2010,1,0.555555556
2010,2,1.444444444
2010,3,9.111111111
2010,4,16.61111111
2010,5,21
2010,6,26.61111111
2010,7,27.55555556
2010,8,27.38888889
2010,9,22.83333333
2010,10,15.83333333
2010,11,10
2010,12,1.055555556
2011,1,1.555555556
2011,2,6.222222222
2011,3,10.61111111
2011,4,16.33333333
2011,5,18.88888889
2011,6,25.55555556
2011,7,27.33333333
2011,8,26.33333333
2011,9,20.38888889
2011,10,14.27777778
2011,11,10.77777778
2011,12,5.944444444
2012,1,6.277777778
2012,2,7.166666667
2012,3,16.11111111
2012,4,15.55555556
2012,5,21.66666667
2012,6,23.27777778
2012,7,27.55555556
2012,8,25.22222222
2012,9,21.27777778
2012,10,14
2012,11,7.944444444
2012,12,7.722222222
2013,1,4.777777778
2013,2,5.388888889
2013,3,6.444444444
2013,4,14.22222222
2013,5,19.22222222
2013,6,23.61111111
2013,7,24.33333333
2013,8,24.38888889
2013,9,21.66666667
2013,10,15.66666667
2013,11,7
2013,12,4.666666667
2014,1,-0.944444444
2014,2,3
2014,3,6.944444444
2014,4,14.88888889
2014,5,20.16666667
2014,6,23.72222222
2014,7,23
2014,8,25.16666667
2014,9,21.44444444
2014,10,16.44444444
2014,11,5.777777778
2014,12,5.944444444
2015,1,2.222222222
2015,2,-0.222222222
2015,3,8.777777778
2015,4,16.05555556
2015,5,19.66666667
2015,6,24.66666667
2015,7,26.5
2015,8,23.94444444
2015,9,22.22222222
2015,10,15.77777778
2015,11,12.33333333
2015,12,10.33333333
2016,1,1.944444444
2016,2,6.166666667
2016,3,12.38888889
2016,4,15.72222222
2016,5,18.72222222
2016,6,25.5
2016,7,27.27777778
2016,8,26.27777778
2016,9,23.88888889
2016,10,18.77777778
2016,11,11.38888889
2016,12,4.777777778
2017,1,7.277777778
2017,2,10.05555556
2017,3,11.72222222
2017,4,17.77777778
2017,5,19.94444444
2017,6,23.5
2017,7,26.5
2017,8,24.27777778
2017,9,21.55555556
2017,10,16.05555556
2017,11,10.11111111
2017,12,4.388888889
2018,1,0.5
2018,2,8.666666667
2018,3,9.722222222
2018,4,11.55555556
2018,5,22.83333333
2018,6,25.38888889
2018,7,26.44444444
2018,8,25.66666667
2018,9,24.11111111
2018,10,16.55555556
2018,11,6.722222222
2018,12,5.833333333
2019,1,4.444444444
2019,2,8.055555556
2019,3,8.611111111
2019,4,14.94444444
2019,5,21.38888889
2019,6,23.55555556
2019,7,26
2019,8,25.77777778
2019,9,25.33333333
2019,10,16.16666667
2019,11,6.5
2019,12,7.388888889
