year,month,tmean
1917,2,5.277777778
1917,3,10.33333333
1917,4,15.22222222
1917,5,16.22222222
1917,6,23.05555556
1917,7,25.11111111
1917,8,24.16666667
1917,9,21.16666667
1917,10,12.44444444
1917,11,9.166666667
1917,12,0.277777778
1918,1,-3.166666667
1918,2,7.944444444
1918,3,14.38888889
1918,4,14.77777778
1918,5,21.55555556
1918,6,25.05555556
1918,7,24.33333333
1918,8,26.77777778
1918,9,18.33333333
1918,10,17.72222222
1918,11,8.722222222
1918,12,8.833333333
1919,1,4.333333333
1919,2,5.722222222
1919,3,10.83333333
1919,4,15.38888889
1919,5,18.61111111
1919,6,25.05555556
1919,7,26.66666667
1919,8,25.55555556
1919,9,22.66666667
1919,10,20.38888889
1919,11,10.33333333
1919,12,4.333333333
1920,1,4.111111111
1920,2,5.333333333
1920,3,9.555555556
1920,4,13.88888889
1920,5,20
1920,6,23.38888889
1920,7,25.16666667
1920,8,24.27777778
1920,9,23.05555556
1920,10,16.83333333
1920,11,8.111111111
1920,12,5.611111111
1921,1,6.888888889
1921,2,7.888888889
1921,3,15.66666667
1921,4,15.38888889
1921,5,19.66666667
1921,6,26.33333333
1921,7,27.5
1921,8,25.55555556
1921,9,26.05555556
1921,10,14.33333333
1921,11,11.61111111
1921,12,7.5
1922,1,4.055555556
1922,2,7.833333333
1922,3,10.61111111
1922,4,17.5
1922,5,20.83333333
1922,6,25.16666667
1922,7,26
1922,8,25.22222222
1922,9,24.16666667
1922,10,16.66666667
1922,11,10.72222222
1922,12,8
1923,1,7.222222222
1923,2,4.222222222
1923,3,9.444444444
1923,4,14.77777778
1923,5,18.83333333
1923,6,24.11111111
1923,7,25.88888889
1923,8,25.55555556
1923,9,22.38888889
1923,10,14.83333333
1923,11,8.833333333
1923,12,9.444444444
1924,1,1.444444444
1924,2,4.888888889
1924,3,7.111111111
1924,4,15.72222222
1924,5,16.77777778
1924,6,25.38888889
1924,7,25.27777778
1924,8,27
1924,9,20.72222222
1924,10,17.66666667
1924,11,10.83333333
1924,12,4.722222222
1925,1,4.833333333
1925,2,9.111111111
1925,3,11.88888889
1925,4,18.44444444
1925,5,18.66666667
1925,6,26.77777778
1925,7,27.16666667
1925,8,25.61111111
1925,9,27.5
1925,10,14.55555556
1925,11,9
1925,12,3.333333333
1926,1,4.111111111
1926,2,7.833333333
1926,3,6.888888889
1926,4,13.77777778
1926,5,20.22222222
1926,6,23.94444444
1926,7,26.55555556
1926,8,26.5
1926,9,25.44444444
1926,10,17.77777778
1926,11,7.5
1926,12,5.5
1927,1,5.388888889
1927,2,10.44444444
1927,3,11.22222222
1927,4,17.66666667
1927,5,21.27777778
1927,6,23.77777778
1927,7,26.16666667
1927,8,24
1927,9,23.61111111
1927,10,17.11111111
1927,11,12.55555556
1927,12,4.555555556
1928,1,4.055555556
1928,2,5.666666667
1928,3,9.944444444
1928,4,13.66666667
1928,5,19.33333333
1928,6,22.88888889
1928,7,26.66666667
1928,8,27
1928,9,20.44444444
1928,10,17.55555556
1928,11,9.388888889
1928,12,5.666666667
1929,1,4.777777778
1929,2,2.611111111
1929,3,12.88888889
1929,4,17.11111111
1929,5,19.33333333
1929,6,23.72222222
1929,7,26.27777778
1929,8,24.44444444
1929,9,21.94444444
1929,10,14.94444444
1929,11,8.444444444
1929,12,5.277777778
1930,1,3.444444444
1930,2,9.833333333
1930,3,9.055555556
1930,4,16.66666667
1930,5,20.66666667
1930,6,23
1930,7,28.5
1930,8,26.16666667
1930,9,23.72222222
1930,10,14.88888889
1930,11,9.833333333
1930,12,3.5
1931,1,4.444444444
1931,2,7.666666667
1931,3,7.277777778
1931,4,14.27777778
1931,5,17.77777778
1931,6,25.55555556
1931,7,26.88888889
1931,8,24.05555556
1931,9,25.33333333
1931,10,18.72222222
1931,11,13.83333333
1931,12,9.666666667
1932,1,8.222222222
1932,2,10.88888889
1932,3,8.277777778
1932,4,16.44444444
1932,5,19.66666667
1932,6,25.77777778
1932,7,27.72222222
1932,8,27
1932,9,22.05555556
1932,10,15.11111111
1932,11,8.333333333
1932,12,4.777777778
1933,1,8.666666667
1933,2,5.555555556
1933,3,10.11111111
1933,4,15.11111111
1933,5,21.83333333
1933,6,25.11111111
1933,7,26.77777778
1933,8,25.22222222
1933,9,25.5
1933,10,16.27777778
1933,11,10.22222222
1933,12,9.833333333
1934,1,6.833333333
1934,2,3.111111111
1934,3,8.222222222
1934,4,15.55555556
1934,5,21.22222222
1934,6,25.72222222
1934,7,28.22222222
1934,8,27.66666667
1934,9,22
1934,10,17.83333333
1934,11,11.83333333
1934,12,4.666666667
1935,1,4.611111111
1935,2,6.111111111
1935,3,14.83333333
1935,4,15
1935,5,19.5
1935,6,22.5
1935,7,26.83333333
1935,8,26.88888889
1935,9,21.88888889
1935,10,16.38888889
1935,11,9.666666667
1935,12,1.166666667
1936,1,1.611111111
1936,2,1.944444444
1936,3,12.72222222
1936,4,13.77777778
1936,5,21
1936,6,25.44444444
1936,7,27.44444444
1936,8,27.5
1936,9,24.55555556
1936,10,15.61111111
1936,11,7.777777778
1936,12,6.888888889
1937,1,8.611111111
1937,2,5.388888889
1937,3,7.888888889
1937,4,14.72222222
1937,5,20.44444444
1937,6,25.11111111
1937,7,24.83333333
1937,8,26.83333333
1937,9,21.27777778
1937,10,14.66666667
1937,11,8.111111111
1937,12,4.444444444
1938,1,3.888888889
1938,2,10.16666667
1938,3,14.66666667
1938,4,15.72222222
1938,5,20.05555556
1938,6,22.66666667
1938,7,25.83333333
1938,8,26.83333333
1938,9,22.16666667
1938,10,16.77777778
1938,11,10
1938,12,5.166666667
1939,1,6.222222222
1939,2,6.833333333
1939,3,11.88888889
1939,4,14.05555556
1939,5,19.38888889
1939,6,24.27777778
1939,7,26
1939,8,24.94444444
1939,9,24.27777778
1939,10,17.5
1939,11,7.666666667
1939,12,6.055555556
1940,1,-4.5
1940,2,4.166666667
1940,3,9.388888889
1940,4,14.22222222
1940,5,17.22222222
1940,6,23.16666667
1940,7,24.55555556
1940,8,25.66666667
1940,9,20.66666667
1940,10,16.83333333
1940,11,8.277777778
1940,12,7.944444444
1941,1,4.722222222
1941,2,3.333333333
1941,3,7.222222222
1941,4,17.38888889
1941,5,21.11111111
1941,6,25.27777778
1941,7,27.05555556
1941,8,26.77777778
1941,9,23.77777778
1941,10,19.66666667
1941,11,8.722222222
1941,12,6.888888889
1942,1,1.944444444
1942,2,3.5
1942,3,10.27777778
1942,4,16.22222222
1942,5,19.11111111
1942,6,24.5
1942,7,26.83333333
1942,8,25.16666667
1942,9,21.22222222
1942,10,16.5
1942,11,12
1942,12,4.777777778
1943,1,4.333333333
1943,2,6.333333333
1943,3,7.555555556
1943,4,14.66666667
1943,5,21.27777778
1943,6,26.5
1943,7,27.72222222
1943,8,27.22222222
1943,9,20.61111111
1943,10,14.27777778
1943,11,8.333333333
1943,12,3.777777778
1944,1,4.722222222
1944,2,8.111111111
